A multinational organization is undergoing a major upgrade to strengthen its security posture. This change includes replacement of the entire wireless infrastructure.,Impact analysis,Backout plan,Approval process,Ownership,A,,,,,,,,,,,,,,,,,,
"An IT technician has implemented a major security upgrade to an organization's accounting system software. After the upgrade, none of the authorized users can launch the app. Each attempt of running the app results in a message indicat",Legacy applications,Application restart,Allow lists/deny lists,Downtime,C,,,,,,,,,,,,,,,,,,
"A number of security breaches have taken place over the last month by persons entering a restricted area by following staff members through an entrance. During investigation of these incidents, the security team determined the subjects did not have permission to enter the area. Which of the following security concepts will BEST prevent this threat?",Access control vestibule,Bollards and fencing,Policy-driven access control,Infrared sensors,A,,,,,,,,,,,,,,,,,,
"An IT department is implementing a framework to limit the number of attack methods an adversary can utilize to compromise a network. Each request being made to a network resource must be proven valid and necessary. After validation, only the specific resource requested will be made available. Which principle should be implemented to meet these requirements?",Adaptive identity,Threat scope reduction,Policy-driven access control,Policy engine,B,,,,,,,,,,,,,,,,,,
"You recently learned of an architecture to mitigate threats associated with unauthenticated and unauthorized access to network and cloud resources. Mitigation is accomplished by removing the perception that a connected device, or user, is presumed to be allowed. Which principle BEST describes this architecture?",Data plane,Implicit trust zones,Zero trust,Policy administrator,C,,,,,,,,,,,,,,,,,,
Which of the following BEST describes the functionality of the logical network control plane?,Control plane is responsible for forwarding of packets or frames from source to destination.,Control plane receives policies from the data plane and applies them.,Control plane contains the policy enforcement point and trusted network resources.,Control plane configures rules and policies for the data plane.,D,,,,,,,,,,,,,,,,,,
You have been dispatched to resolve an issue with a group of firewalls that are intermittently failing to filter traffic. This problem started after a large-scale network security upgrade. The firewalls' technical support representative informs you,Version control,Impact analysis,Standard operating procedures,Updated policies and procedures,A,,,,,,,,,,,,,,,,,,
"You manage a back-end database server that feeds content to a front-end web server. The database server is segmented from the web server, and configured to deny access without the use of a valid access key. You need a way to entice an attacker into using a specific, nonthreatening access key with the goal of detecting and analyzing the attack. Which of the following will accomplish this objective?",Honeypot,Honeyfile,Honeynet,Honeytoken,D,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Question,Answer A,Answer B,Answer C,Answer D,Right Answer Choice,,,,,,,,,,,,,,,,,,
Quiz 3,,,,,,,,,,,,,,,,,,,,,,,
"A computer in the factory that controls a grinding machine, is running an operating system that no longer receives security patches from the vendor. The cyber team realizes this system poses threats to the network, but unfortunately the application installed on the computer, cannot be updated and will not run on a newer version of the operating system. What is the MOST effective way to reduce this potential attack vector?",Disable automatic operating system updates and perform manual updates.,Configure patch management and schedule automatic updates.,Isolate the computer from the corporate network.,Install the app on a new computer that supports automatic operating system updates.,C,,,,,,,,,,,,,,,,,,
A technician is troubleshooting an issue on a user's workstation in which the system is frequently lagging and freezing up. The tech determines the problem started when the user installed an unrecognized and unauthorized third-party application in order to streamline purchase order entry. Which of the following BEST describes this threat?,Unskilled attacker,Hacktivist,Nation-state,Shadow IT,D,,,,,,,,,,,,,,,,,,
"A threat actor has attempted to compromise an organization's network and systems on numerous occasions, without success. After further reconnaissance of the target organization, the attacker compromises a vulnerable website frequently used by the organization. Which of the following BEST describes the threat vector used by the attacker?",Watering hole,Vishing,Typosquatting,Impersonation,A,,,,,,,,,,,,,,,,,,
"A threat actor is actively attacking a company with offices located in several states, for the purposes of financial profit, espionage, and fraud. The attacks are successful in part due to the fact the attacker is evading law enforcement by shifting the attack between states. Which of the following best describes this threat actor?",Hacktivist,Organized crime,Nation-state,Insider,B,,,,,,,,,,,,,,,,,,
"An attacker is scanning a network for available devices. A router exposes the fact that it allows easy authentication with no need for a brute force password attack. A server responds to the scan, and is shown to be listening to FTP, SMTP, and IMAP requests. What two threat vectors are present in this scenario?","Unsupported systems, open service ports","Open service ports, default credentials","Default credentials, message-based","Supply chain, vulnerable software",B,,,,,,,,,,,,,,,,,,
"An international organization is experiencing a series of attacks in which a collective of attackers are simultaneously attempting to damage the organization's reputation. The attackers are not requesting any financial payments, but are threatening to expose exfiltrated data they claim is damaging to the organization. Which of the following BEST describes these threat actors?",Hacktivist,Organized crime,Nation-state,Insider,A,,,,,,,,,,,,,,,,,,
"An IT manager received an email from the HR Department with the name of an employee who has decided to resign their position on Friday of the current week. The IT manager schedules the employee's domain user account, and building access card, to be disabled at the end of day on Friday. Which threat type do these steps protect against?",Unskilled attacker,Insider,Shadow IT,Hacktivist,B,,,,,,,,,,,,,,,,,,
"The accounting department received an email from the CEO requesting that funds be wire transferred to a supplier's account, as prepayment for a large purchase. Upon checking the request, the accountant determines the request did not actually come from the CEO, and no purchase was actually being made. Which threat vector was used for this attempted attack?",Brand impersonation,Smishing,Misinformation,Business email compromise,D,,,,,,,,,,,,,,,,,,
"The help desk is receiving numerous calls from employees who describe being directed to a suspicious website, after opening an email attachment that appears to come from the president of the company. The help desk manager verifies the president did not send these emails, and the redirected website is indeed suspicious. Which of the following BEST describes this attack?",Phishing,Impersonation,Pretexting,Watering hole,A,,,,,,,,,,,,,,,,,,
"Your company manufactures a product that requires the purchase of parts and components from several global sources. A recently implemented cybersecurity framework, suggests verifying reputable sources for purchased items to mitigate potential attack vectors in the finished product. Which of the following BEST describes the threat vector being addressed?",Unsecure network,Vulnerable software,Supply chain,Managed service provider,C,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Question,Answer A,Answer B,Answer C,Answer D,Right Answer Choice,,,,,,,,,,,,,,,,,,
Quiz 4,,,,,,,,,,,,,,,,,,,,,,,
Alice needs to send a message to Bob in such a way that only Bob can read it. Which of the following cryptographic keys should be used to encrypt the message?,Alice's private key,Bob's private key,Alice's public key,Bob's public key,D,,,,,,,,,,,,,,,,,,
An attacker is attempting to crack a system's password by repeatedly trying to match a list of well-known words and phrases. Which of the following will have the MOST significant impact on the attacker's ability to quickly guess the correct password?,Hashing,Digital signatures,Encryption,Salting,D,,,,,,,,,,,,,,,,,,
An organization is utilizing asymmetric encryption and is concerned over the possibility of an attacker compromising the cryptographic process. Which of the following must be protected in order to maintain cryptographic security?,Public keys,Private keys,Algorithm,Key length,B,,,,,,,,,,,,,,,,,,
"It has been determined that the private key, used to generate your web server's SSL/TLS certificate, was stolen during a recent cyberattack. Which action should you take to contend with this incident?",Submit the certificate to the CA's CRL,Delete the linked public key,Recover the private key from escrow,Place the linked public key in escrow,A,,,,,,,,,,,,,,,,,,
"The system administrator for a large organization would like to acquire a single SSL certificate for several web servers, each hosting one of the organization's several subdomains within the PKI. Which of the following is the most efficient solution?",Self-signed certificates,Wildcard certificates,OCSP responder,Certificate revocation list,B,,,,,,,,,,,,,,,,,,
Which of the following can be used to mitigate the possibility of an eavesdropper decrypting sensitive data by capturing the symmetric key used to encrypt the data?,DHE,AES,RSA,SHA,A,,,,,,,,,,,,,,,,,,
"You are a cybersecurity manager tasked with protecting extremely sensitive cryptographic key data. Several mitigation techniques have been implemented to protect the key data while at rest. However, the CISO is concerned about compromise of the key data while in an active, unencrypted state on an end-user's workstation. Which of the following will BEST mitigate the CISO's concern?",HSM,TPM,Secure enclave,Key management,C,,,,,,,,,,,,,,,,,,
You are completing a CSR to send to an RA for the purpose of obtaining a new email certificate. Which of the following steps must be performed before submitting the CSR?,Generate a key pair and attach private key to CSR,Generate a key pair and attach both private and public to CSR,Generate a key pair and attach public key to CSR,Generate a shared secret key and attach to CSR,C,,,,,,,,,,,,,,,,,,
You have been tasked with encrypting sensitive information contained within the company's employee database. The primary requirement for this implementation is to permit employees access to only their own information. Which of the following encryption methods should be used?,Record-level,Database-level,File-level,Volume-level,A,,,,,,,,,,,,,,,,,,
"You suspect an employee of intentionally sending confidential data from their business email account to their personal email account. The employee has authorization to access the data on company computers, but does not have authorization to send data outside the company's systems. Upon further investigation, the company's data loss prevention system is not detecting the suspicious activity. Which of the following is the MOST likely reason for the DLP failure to detect?",Tokenization is used on data before being emailed,Steganography is used on data before emailing it,The suspect is using data masking techniques,The suspect is using key stretching,B,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Question,Answer A,Answer B,Answer C,Answer D,Right Answer Choice,,,,,,,,,,,,,,,,,,
Quiz 5,,,,,,,,,,,,,,,,,,,,,,,
"A cybersecurity analyst is trying to discover why a guest operating system has been compromised by an attacker. The compromised guest is isolated from the network and the internet, but shows definite signs of malicious activity. Which of the following is the MOST likely cause of compromise?",OS-based vulnerability,VM escape,Malicious update,Memory injection,B,,,,,,,,,,,,,,,,,,
A desktop computer used in the company's accounting and finance department has reached EOL and is due to be recycled. A technician has deleted all the accounting data from the installed HDD and also emptied the OS recycle bin. The technician is en route to the local recycling facility to drop off the system. Which of the following mitigation steps did the technician neglect that would have ensured the confidentiality of the accounting data?,Patching,Encryption,Decommissioning,Monitoring,C,,,,,,,,,,,,,,,,,,
"A technician is researching an issue with an application that is intermittently crashing. While observing the app's running process, it appears the app is inserting external code into its running process space. Which of the following BEST describes this action by the running application?",Buffer overflow,Race condition,TOCTOU,Resource reuse,A,,,,,,,,,,,,,,,,,,
"A user is changing internal job roles and would like to continue to use the computing devices allocated to them for their previous role. Since the devices are up-to-date and fully capable of performing in the new role, the request is granted. You have been tasked with auditing and configuring the devices to guarantee the user will only be able to perform actions related to the new job role. Which of the following will be a part of your job to ensure this goal is met?",Isolation,Least privilege,Decommissioning,HIPS,B,,,,,,,,,,,,,,,,,,
"An attacker wants to obtain confidential information from a web server, but does not have a valid user account for the web service. The attacker sends phishing emails containing links embedded with malicious code with the hope that at least one user will click the link and be directed to the web server of interest. Which of the following vulnerabilities can the attacker exploit in order to carry out this attack?",Jailbreaking,SQLi,Sideloading,XSS,D,,,,,,,,,,,,,,,,,,
The IT team is setting up and deploying a number of new computers across the enterprise. The IT manager wants to ensure consistent and secure setup of these systems and has distributed a list of specific settings that each member of the team must follow. Which of the following mitigation technique BEST describes the manager's actions?,Configuration enforcement,Installation of endpoint security,Access control,Access control lists,A,,,,,,,,,,,,,,,,,,
The shipping department supervisor is asking if you can configure the systems so that only two of the ten users in the department can make permanent changes to the shipping data files. All users need to access and view the data. Which of the following will BEST accomplish this request?,File system permissions,Segmentation,Application allow list,Host-based firewall,A,,,,,,,,,,,,,,,,,,
"While reviewing a database server log, you notice several queries that successfully returned the contents of the table named 'TBL_employees'. Authorized users perform this query on a regular basis, however, the queries in question are using a malformed query string that includes 1=1"". Which of the following vulnerabilities were exploited?""",XSS,TOCTOU,Cryptographic,SQLi,D,,,,,,,,,,,,,,,,,,
You have been alerted on several occasions today that leads you to suspect the company's newly installed hardware router has been compromised by an insider. Logs indicate the attacker has gained access to the web-based management console. Which of the following changes will harden the router against this type of compromise?,Default settings change,Encryption,Removal of unnecessary software,Disabling unused ports and protocols,A,,,,,,,,,,,,,,,,,,
"You suspect a vulnerability in an OS running on a user's desktop computer that produces predictable outcomes. Furthermore, you have successfully duplicated the problem across multiple desktop computers running the same version and build number of the OS. Searching the vendor's website for patches has revealed no mention of this specific problem nor a fix. Which of the following BEST describes the type of suspected vulnerability?",End-of-life,Legacy,Zero-day,Supply chain,C,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Question,Answer A,Answer B,Answer C,Answer D,Right Answer Choice,,,,,,,,,,,,,,,,,,
Quiz 6,,,,,,,,,,,,,,,,,,,,,,,
"A disgruntled employee wants to deface the organization's web site. While performing reconnaissance of the internet-facing web server, the attacker determines a different internal server is maintaining the site's content. Which of the following attacks could the employee use to achieve the goal?",Password spraying attack,Collision attack,SSRF attack,DNS attack,C,,,,,,,,,,,,,,,,,,
"A junior IT technician is conferring with you about complaints from some of your organization’s wireless users. They are able to access the public internet, but are experiencing sporadic wireless outages, intermittent wireless performance issues, and loss of access to shared data located on internal file servers. The Wi-Fi analyzer report taken in the area where the users are complaining indicate the following:

Access Point #1
Network name (SSID): XYZCompany
Wireless standard: 802.11ac
Channel: 50
RSSI (Signal strength): -35 (excellent)
Security: WPA3, AES-256, SAE

Access Point #2
Network name (SSID): XYZCompany
Wireless standard: 802.11ac
Channel: 114
RSSI (Signal strength): -30 (excellent)
Security: Open

Which of the following BEST describes the reason for the wireless user’s complaints?",An insider has connected a rogue access point to an operational RJ-45 network jack in the area where the users are experiencing the issues.,An internet connected evil twin has been placed in proximity of the users experiencing the issues.,An internal IT technician has misconfigured the access points and inadvertently caused a wireless jamming attack.,One of the access points is broadcasting disassociation frames causing contention between client devices and both the access points.,B,,,,,,,,,,,,,,,,,,
A user received a new laptop computer and is complaining about all the trial software installed on the system. These applications seem to be slowing the performance of the system. Which of the following BEST describes the user's complaint?,Keylogger,Bloatware,Virus,Spyware,B,,,,,,,,,,,,,,,,,,
"An adversary is attempting to compromise a web app server, but without success. The attacker knows that if the server will change its security requirements to a less secure standard, the attack will likely be successful. Which of the following attacks is the attacker contemplating?",Downgrade attack,Brute force attack,Collision attack,DNS attack,A,,,,,,,,,,,,,,,,,,
An attacker wants to compromise a web server in order to access unauthorized system files. The attack will attempt to exploit the URL sent to the target server. Which of the following attacks is the threat actor MOST likely attempting to carry out?,Buffer overflow,Replay attack,Directory traversal,Birthday attack,C,,,,,,,,,,,,,,,,,,
Which of the following BEST describes a client-side XSRF attack?,"Forged requests, aimed at a trusted site, are sent to an authorized user with the purpose of tricking the user into submitting the request to the server.","Forged requests, aimed at a trusted site, are submitted directly to the server with the intention of tricking the server into processing the requests.",An inside employee is attempting to learn other employees credentials for the purpose of gaining access to company information the employee's own account will not allow.,An attacker gains on-path access between two hosts with the intention of intercepting authentication credentials and resubmitting them at a later time.,A,,,,,,,,,,,,,,,,,,
Which of the following BEST describes a DRDoS attack?,"A victim's IP address is spoofed and included as the source for a number of forged requests, resulting in a very large quantity of unsolicited replies.",An attacker spoofs MAC addresses and sends unsolicited replies to network devices in an attempt to modify the MAC address table on target devices.,The non-volatile name resolver cache on a target host is updated with spoofed name to IP address mappings.,A form of DoS attack where a large quantity of small-sized requests are returned to a target exponentially larger in size.,A,,,,,,,,,,,,,,,,,,
Which of the following BEST describes a logic bomb?,Software that sits dormant waiting for an event or condition to be met.,"Disguised as legitimate software, but contains malicious code.",Self-propagates without user interaction.,Gathers information about users and their online habits.,A,,,,,,,,,,,,,,,,,,
Which of the following BEST describes a rootkit?,Encrypts victim's data with public key,Extorts victim for payment,Remains dormant waiting for an event,Gives attacker root-level access,D,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Question,Answer A,Answer B,Answer C,Answer D,Right Answer Choice,,,,,,,,,,,,,,,,,,
Quiz 7,,,,,,,,,,,,,,,,,,,,,,,
"A cyber security technician wants to prevent further compromise if an attacker penetrates the perimeter security. Accordingly, the tech configured a security control on the network to fail-closed. Which of the following will happen when an attack occurs?",The control will default to its most secure security settings.,The control will only allow traffic filtered and approved by the control's ACL.,The control will fail over to a second device so traffic can continue flowing.,The control will stop all traffic flow and reboot to disconnect the attacker.,A,,,,,,,,,,,,,,,,,,
"A network admin is receiving complaints from technicians stating that the deployment and configuration of new network devices is taking too much time. Additionally, inconsistencies are happening from manual configuration. Which of the following will eliminate these issues?",IaC,Serverless,Microservices,RTOS,A,,,,,,,,,,,,,,,,,,
An admin wants to separate departments within the organization's network to increase security. The primary concern is slowing an attacker's lateral movement should the network be compromised. Which of the following should the admin implement to address their concerns?,Decentralized computing,High availability,Logical segmentation,Physical isolation,C,,,,,,,,,,,,,,,,,,
The CEO of a company wants to provide access to an in-house application to its customers. The CEO wants reassurance the internal network will remain secure after the deployment. Which zone should the app servers be placed in to mitigate the CEO's security concerns?,External,Internal,Screened subnet,High-privileged internal,C,,,,,,,,,,,,,,,,,,
There have been several unauthorized connections to network jacks in the reception area of a large organization. Disconnecting the jacks is not an option because company sales personnel periodically use them. Which method would prevent unauthorized network access through these jacks while minimizing administrative overhead?,Implement a stateful inspection firewall.,"Implement 802.1X, EAPOL, and RADIUS.",Configure MAC filtering or limiting on the switches.,Require all sales personnel to use a remote access VPN.,B,,,,,,,,,,,,,,,,,,
What is the primary reason for implementing a jump server for network security?,To act on behalf of clients accessing resources over the internet.,To act as a gateway when accessing resources in different security zones.,To automatically route client requests to one of several duplicate resources.,To sniff packets for logging and monitoring of network traffic.,B,,,,,,,,,,,,,,,,,,
Which of the following BEST describes an embedded system?,"A lightweight app that includes all of its support files, dependencies, and libraries.","A device with built-in sensors, actuators, computer power, and network connectivity.",A computing device designed to operate by itself and perform a single function.,A combination of control mechanisms that work together to operate or automate a workflow.,C,,,,,,,,,,,,,,,,,,
Which responsibilities fall on the cloud customer regardless of the deployment model?,Data classification,Identity and access management,Network controls,Host infrastructure,A,,,,,,,,,,,,,,,,,,
You are assisting in designing a new data center for one of your organization's branch offices. The project manager is asking that the system design include the ability to provide services for the current needs and future growth. The systems must support growth without requiring a redesign. Which of the following BEST describes the project manager's request?,Availability,Resilience,Ease of deployment,Scalability,D,,,,,,,,,,,,,,,,,,
You want to migrate your compute and storage services to the cloud and have decided on a hybrid cloud deployment. Which of the following could have a potential negative impact on your choice?,Your organization will have responsibility for purchasing and maintaining the underlying network and hardware infrastructure.,All of the cloud computing resources are owned and operated by the cloud service provider.,"Your organization has no control over any of the infrastructure, hardware, or software that will be provisioned.","You will have to cope with managing distributed tasks such as incident handling, monitoring and logging, and IAM.",D,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Question,Answer A,Answer B,Answer C,Answer D,Right Answer Choice,,,,,,,,,,,,,,,,,,
Quiz 8,,,,,,,,,,,,,,,,,,,,,,,
A large organization has data centers and cloud resources in several locations around the globe. The IT team is implementing a method of ensuring data sovereignty laws and regulations are adhered to by connecting users to their closest data location. Which of the following describes the BEST solution for meeting these objectives?,Assign permission restrictions via ACLs to each user.,Implement tokenization and masking on the servers.,Utilize geolocation prior to each user connecting to resources.,Ensure data is labeled as Critical and implement data security controls.,C,,,,,,,,,,,,,,,,,,
"A packet filtering firewall has failed and needs replacing. The regulatory requirements for the replacement firewall state that it must be capable of recognizing established and new sessions, perform deep packet inspection, and reject traffic such as HTTP or FTP that are using non-standard TCP ports. Which of the following will BEST meet these requirements?",Layer 3 firewall appliance,Layer 4 firewall appliance,Layer 7 firewall appliance,Web application firewall,C,,,,,,,,,,,,,,,,,,
All employees of an organization sign an NDA as part of the onboarding process. Part of the agreement stipulates that the employee cannot misappropriate information that uniquely describes the method used to produce its widgets. Which of the following BEST describes the type of data?,Regulated data,Intellectual property,Legal information,Trade secret,D,,,,,,,,,,,,,,,,,,
"An ISSO for a medium-sized business received notice from an insurance company that regular network monitoring for intrusions is required to maintain regulatory compliance. The documentation states the monitoring must be real-time, impossible for an attacker to detect, and incident alerts sent to the cyber team. Which of the following BEST describes the intention of the insurance company?",Installation of IDSs at strategic locations on the network.,Installation of IPSs at the network perimeter.,Installation of TAPs between file and database servers.,Installation of SPANs on all switches in the accounting department.,A,,,,,,,,,,,,,,,,,,
An organization is reconfiguring its growing global infrastructure to better secure data communications between its dispersed data centers. The admin wants to automate as much of the configuration and ongoing security. Which of the following would BEST meet these objectives?,SD-WAN,SASE,WAF,UTM,A,,,,,,,,,,,,,,,,,,
"An organization is replacing wireless and wired LAN infrastructures with updated wireless access points, Ethernet switches, a network access control server, and a directory service server. Which zone should the directory service server be placed in to ensure its highest level of security?",Screened subnet,Trusted internal zone,Public zone,Semi-trusted zone,B,,,,,,,,,,,,,,,,,,
"Customers are required to complete a form before purchasing from your company. The form collects name, street address, city, state, and zip code. Which classification label is typically assigned to this data?",Restricted,Private,Critical,Confidential,B,,,,,,,,,,,,,,,,,,
Several users in a small organization want to work from home a few days per week. Each user would connect remotely to the organization's network through the internet. The network admin wants your advice on the MOST secure method to accomplish this task. Which of the following will you recommend?,Install a remote access VPN client on the user's remote computer and configure it to use IPsec transport mode.,"Configure RDP on the user's remote and corporate computers, and allow RDP through on the corporate firewall.",Install a remote access VPN client on the user's remote computer and configure it to use IPsec tunnel mode.,Enable 802.1X and EAP on the user's remote network and use RADIUS to connect to the corporate network.,C,,,,,,,,,,,,,,,,,,
"The CEO of a medium-sized company is soliciting your input on ways to increase their cybersecurity posture. The company currently has an on-premises data center and is beginning to migrate some services to the cloud. The CEO wants to integrate as much security control across its on-premises and cloud infrastructures. The company has an on-premises security appliance that performs IPS, VPN, NAC, and content filtering, and lately, minor failures with the current system have caused intermittent network outages. Which of the following scenarios will BEST address the requirements of the CEO?","Download, test, and apply updates and patches to the current system.",Replace the current system with an updated appliance that performs the same security functions.,Replace the current system with individual security appliances and add a UTM appliance.,Replace the current system with individual security appliances and add a NGFW appliance.,D,,,,,,,,,,,,,,,,,,
"Your organization recently fell victim to a data breach, resulting in fines and penalties due to improper handling of PCI DSS data. Which of the following data types was MOST likely involved in this breach?",Regulated data,Trade secrets,Intellectual property,Financial information,A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Question,Answer A,Answer B,Answer C,Answer D,Right Answer Choice,,,,,,,,,,,,,,,,,,
Quiz 9,,,,,,,,,,,,,,,,,,,,,,,
How does asynchronous replication differ from synchronous replication?,Synchronous replication has a predetermined delay between synchronization operations,Asynchronous replication is less costly,Synchronous replication is more bandwidth-efficient,Asynchronous replication has no downtime between synchronization operations,B,,,,,,,,,,,,,,,,,,
How does journaling contribute to quick recovery after a crash?,By decreasing power consumption,By maintaining a transaction log of changes,By preventing all data writes,By storing duplicate data,B,,,,,,,,,,,,,,,,,,
How does platform diversity contribute to defense in depth?,By challenging attackers and slowing down attacks,By reducing the number of security controls,By decreasing power consumption,By creating monocultures susceptible to attacks,A,,,,,,,,,,,,,,,,,,
"In a high-availability cluster using the active/passive mode, what happens to the passive node during normal operation?",It processes requests in parallel with the active node,It remains offline,It processes all requests,It shares workload with the active node,B,,,,,,,,,,,,,,,,,,
What does a UPS primarily provide during a power outage?,Immediate restoration of data,Ensuring uninterrupted network connectivity,Bridging the gap between outage and generator supply,Unlimited power supply,C,,,,,,,,,,,,,,,,,,
What does high availability (HA) primarily ensure in IT systems?,Frequent system updates,Minimal service interruption,Maximum power consumption,Redundant hardware components,B,,,,,,,,,,,,,,,,,,
What does parallel processing testing ensure in resilience and recovery planning?,Hot-swappable power supplies,Real-time data replication,Manual switchover of a failed CPU core,Simultaneous operation of primary and secondary backup systems,D,,,,,,,,,,,,,,,,,,
What is a key consideration in multi-cloud systems?,Avoiding regulatory compliance,Ensure availability of cloud services,Ensuring data consolidation,Choosing a single provider for cost efficiency,B,,,,,,,,,,,,,,,,,,
What is a primary advantage of generators in power resiliency planning?,Immediate power restoration,Providing power during utility outages,To reduce fuel costs,To ensure continuous power supply during generator failure,B,,,,,,,,,,,,,,,,,,
What is the main purpose of geographic dispersion in resiliency planning?,To ensure continuity of operations during regional disasters,To centralize all operations,To minimize data storage costs,To increase network latency,A,,,,,,,,,,,,,,,,,,
What is the primary advantage of a hot site in site resiliency?,Lowest cost,Lowest downtime,Least geographical dispersion,Highest data storage capacity,B,,,,,,,,,,,,,,,,,,
What is the primary benefit of off-site backups?,Increased data corruption,Simplified data recovery procedures,Ensures the same disaster that effected the on-site backup will not impact the live data and backup,Reduced backup costs,C,,,,,,,,,,,,,,,,,,
What is the primary goal of load balancing?,Reducing hardware costs,Optimizing performance and availability,Ensuring data encryption,Increasing power consumption,B,,,,,,,,,,,,,,,,,,
What is the primary purpose for utilizing redundant components in a highly available environment?,To prevent single points of failure,To increase processing power through multiple CPUs,To eliminate power outages,For real-time data replication,A,,,,,,,,,,,,,,,,,,
What is the purpose of continuity of operations (COOP) planning?,To eliminate all risks in operations,To ensure quick recovery during emergencies,To increase employee turnover,To ensure maximum power consumption,B,,,,,,,,,,,,,,,,,,
Why are redundant generators implemented in critical installations?,To reduce power consumption,To eliminate the need for transfer switches,To ensure continuous power supply during generator failure,To increase power consumption,C,,,,,,,,,,,,,,,,,,
Why is backup encryption critical for data privacy and security?,To decrease data accessibility,To protect data in case of theft or unauthorized access,To ensure data remains accessible without authentication,To reduce data corruption,B,,,,,,,,,,,,,,,,,,
Why is capacity planning essential in people (workforce) management?,To redeploy excess staff elsewhere within the organization,To ensure sufficient staff for future workloads,To increase turnover rates,To eliminate overstaffing,B,,,,,,,,,,,,,,,,,,
Why is capacity planning important in technology and infrastructure management?,To ensure systems are scalable,To maximize cost per workload,To increase the gap between current and future system needs,To ensure systems are scalable,A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Question,Answer A,Answer B,Answer C,Answer D,Right Answer Choice,,,,,,,,,,,,,,,,,,
Quiz 10,,,,,,,,,,,,,,,,,,,,,,,
An organization wants to protect their servers from malware attacks. What is the most appropriate security technique for this purpose?,Regularly updating antivirus and anti-malware software,Sharing administrator passwords,Disabling network firewalls,Using outdated software versions,A,,,,,,,,,,,,,,,,,,
